gene_id	logFC	species	host	treat
Bradi2g47700	-11.051375430500801	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g49910	-9.30350015367211	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g11567	-9.08598004298325	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g01320	8.922765123356301	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g60970	-8.84811641290031	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g17316	8.55561228749051	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g24462	8.41002164997998	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g47290	7.77371476036768	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g35203	7.57492988226889	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g12323	-7.489824871432099	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g27470	7.48000118816498	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g24780	7.451244933446831	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g15290	7.37526296328061	Bdistachyon	S.indica	TStreat-TSmock
Bradi5g14045	7.27573496362867	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g64590	-7.2469114882195305	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g53747	7.1543624437723	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g57337	-7.124373950929919	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g29500	7.10779703602717	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g54505	-7.08511464167855	Bdistachyon	S.indica	TStreat-TSmock
Bradi5g09480	-7.08511464167855	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g07810	-7.080510296117651	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g57110	7.02518252261529	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g41987	7.023941897103421	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g18650	-6.99762823763257	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g03767	6.97626561398721	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g13522	6.8833542168954	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g26074	6.83146782513057	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g27139	-6.809503833622481	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g22290	-6.809503833622481	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g49880	6.781147023813701	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g01330	6.72754699566831	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g15700	-6.701341807909441	Bdistachyon	S.indica	TStreat-TSmock
Bradi5g17730	-6.699004128722629	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g23241	6.672591760168901	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g45800	6.66969669313163	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g50721	6.66897297961082	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g15240	6.66764030017787	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g75190	-6.6473057933209905	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g11270	-6.64570951572662	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g61757	6.6146837481452	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g58600	6.55357948304734	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g25880	6.48900416608272	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g25910	6.487442025978299	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g12695	-6.4637039215782	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g22585	-6.46284257772638	Bdistachyon	S.indica	TStreat-TSmock
Bradi5g17943	-6.3969468507544605	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g38813	6.353101450726731	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g15200	6.302037615047849	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g52220	6.280451903911481	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g19525	-5.98874783104086	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g22460	-5.85897467232944	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g15956	5.20939496047272	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g34727	4.72408119480851	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g44400	4.71766501632697	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g43855	-4.54624579488178	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g54367	4.293588591505561	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g17330	4.28811150927959	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g43870	-4.28400404237291	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g10037	4.165057498791129	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g37410	-4.14357105019084	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g18106	-4.13650399390206	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g41000	-3.94119312710755	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g28427	-3.9145764219312102	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g14940	-3.9102114696552404	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g11450	3.86565947419198	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g01860	-3.81808859676503	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g44760	3.77717810323399	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g46780	3.7661529647357006	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g25070	3.72447320946719	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g49950	3.68475830905832	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g25890	-3.6762921612304598	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g66296	3.66727511308177	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g15210	3.5909147903755403	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g25386	3.5893452279089804	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g42230	-3.53270749954472	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g09750	-3.53151700143888	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g05040	3.4964021494491804	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g28960	3.46951143284665	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g43851	3.42622140264973	Bdistachyon	S.indica	TStreat-TSmock
Bradi5g23140	-3.42045470128492	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g18090	-3.39478451806877	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g33400	-3.37356977907395	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g17150	3.3059077401915897	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g64080	3.30444733193223	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g07530	3.3028277304881	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g12615	-3.2919298712740397	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g57590	3.2551417745038	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g01927	-3.2435093872790004	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g27500	3.21359448206357	Bdistachyon	S.indica	TStreat-TSmock
Bradi5g02205	3.21043508420604	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g35660	-3.20303844345085	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g59210	3.19630270552702	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g27782	3.1800849264204003	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g10450	3.17695913966331	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g39622	3.16497667278779	Bdistachyon	S.indica	TStreat-TSmock
