gene_id	logFC	species	host	treat
Ghir_D06G001100	13.1986179825738	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D10G002080	12.5327885855279	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D10G023970	11.7103588959574	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A10G001330	11.6324688992794	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A13G003640	11.4786159226849	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A11G033430	11.469632233968198	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A05G018320	11.4488507132954	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A10G021860	11.3547741240304	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A11G016200	11.2789940388	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A06G021660	11.214886639014402	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A08G006110	11.1672012895112	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D13G025800	10.9447116500368	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A11G000300	-10.9363588985115	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A13G014130	-10.9193342241169	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D13G025440	-10.8762554800724	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D11G006500	10.648975147026	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D08G000900	10.578439739927699	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A06G001250	10.412403411673699	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D10G002150	10.3678588453656	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A07G002350	10.3581541763287	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D10G013780	-10.3426897449592	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D09G000270	-10.3213521373936	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_Scaffold423G000050	-10.251257933408	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A09G021730	-10.145838699973801	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A12G000290	-9.89417458740633	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A11G007460	-9.76948527636135	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D09G000610	9.6827206095461	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A08G001910	-9.53618792205318	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A12G010940	-9.52866057762683	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A10G010130	9.51208933585191	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D03G001970	-9.44482543387095	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A11G032190	9.438583149011698	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D02G010410	9.31267601441358	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A05G005870	-9.2855961105514	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A10G022250	-9.26346103913164	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D10G000850	-9.23406812242737	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D02G000330	-9.19482005309341	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A09G008520	9.134793816002368	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D05G038010	9.113293144493928	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A11G032990	9.102549671953991	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D04G016370	-9.08443868852492	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A11G032580	-9.08327311215526	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D09G020490	-9.02887441238558	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D05G016640	9.01529635832276	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D04G000900	-9.00872845836958	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D07G001330	-9.00867068256255	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D05G012200	8.981278756958151	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D12G028810	8.917581961031779	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D07G004380	-8.88614766827452	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A01G003480	-8.879745743143962	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A12G027550	-8.87453606699748	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A08G000450	8.85651656351419	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A03G021830	-8.827465988958279	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A13G001500	8.7794299192173	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D12G000250	-8.70417221309589	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A13G017130	8.6669103300811	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D10G002690	-8.66547637091001	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D05G021310	-8.60876909247131	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D08G002910	8.60125437294226	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D05G009270	-8.600074469716999	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D12G012130	8.53042547077553	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A08G002830	8.52261014256629	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D10G002720	-8.51227883230771	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
