gene_id	logFC	species	host	treat
Medtr3g031270	10.2416673723547	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr3g415670	10.141320154861198	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr3g008960	10.1269432020681	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr5g061290	10.0622485742349	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr5g099060	10.005202255073	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr1g049140	-9.937862992274981	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr3g077910	9.45632324953938	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr5g011960	9.35125673439558	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr5g091550	9.31497071802429	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr6g017175	9.21837512940545	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr3g016355	9.19399444084506	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr4g022470	-9.03772705240776	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr1034s0010	-9.0355889779839	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr7g074730	8.87606882182675	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr8g075280	8.75211920122152	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr5g072330	8.72274701314626	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr8g106470	8.71185503198542	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr3g054180	8.66041428866855	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr2g103360	8.65531499522495	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr4g133690	8.44496877966659	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr6g007160	8.42726376300656	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr2g042340	-8.42057708258204	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr4g094550	8.38526253021432	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr5g078020	8.2543718917699	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr7g012800	8.24356933536134	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr5g081030	-8.20886741004216	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr4g133890	8.14065030444772	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr5g095460	8.08126739826457	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr0153s0020	-8.0734704235375	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr1g018090	-8.06960049785677	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr5g025850	8.056357127274469	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr2g087125	-8.04833043312649	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr3g105050	8.04062004006508	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr6g042660	8.03209596535583	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr3g087730	8.01985454298352	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr7g105370	8.01338161262824	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr2g013780	-8.0027988483826	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr2g046100	7.99113046707284	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr2g029730	-7.8789977918578495	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr5g091530	7.781275899891191	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr2g098230	7.726518072101211	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr4g120030	-7.714518071659219	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr7g083590	7.7025990973580996	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr0009s0410	7.67428182221467	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr6g027660	7.67162233950621	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr1g070330	-7.623459891450451	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr7g080793	7.586566755725389	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr4g116360	7.5274247887548205	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr4g057865	-7.49804380711229	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr3g078250	7.49691639834435	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr1g006590	7.47553710510602	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr8g104190	-7.47454525693038	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
