Orthogroup	pathogen_class_type	logFC
OG0000204	bacterium	4.06485423986928
OG0000267	bacterium	1.13824448796922
OG0000312	bacterium	8.14529784334228
OG0000325	bacterium	1.58468894819716
OG0000364	bacterium	1.3126520370817
OG0000455	bacterium	1.24910345298471
OG0000524	bacterium	1.85350754623029
OG0000656	bacterium	1.77552195111743
OG0000692	bacterium	2.98639421917689
OG0000714	bacterium	1.40112302145202
OG0000751	bacterium	1.60416514747934
OG0000765	bacterium	6.14579053330695
OG0000833	bacterium	1.91626817088099
OG0000854	bacterium	1.32735533918983
OG0000858	bacterium	1.58057979973871
OG0000934	bacterium	1.23281866887046
OG0001033	bacterium	1.11599603631858
OG0001041	bacterium	1.60288011866403
OG0001072	bacterium	1.11950646566562
OG0001134	bacterium	1.43980808774935
OG0001157	bacterium	1.46864003081633
OG0001176	bacterium	1.09858086985422
OG0001201	bacterium	3.78055415715353
OG0001204	bacterium	1.05886964109211
OG0001214	bacterium	1.26564005132082
OG0001216	bacterium	4.99928370469948
OG0001225	bacterium	6.82442189438366
OG0001240	bacterium	8.61013543760833
OG0001268	bacterium	5.07242147455143
OG0001315	bacterium	2.4641569007165
OG0001364	bacterium	3.94047966755
OG0001433	bacterium	2.42100446275956
OG0001444	bacterium	1.38673193238852
OG0001491	bacterium	3.39314771990224
OG0001526	bacterium	3.97035967399945
OG0001737	bacterium	1.00516078199703
OG0001739	bacterium	1.3092925034325
OG0001743	bacterium	2.02788316457925
OG0001749	bacterium	2.69076907817989
OG0001775	bacterium	2.16977562028606
OG0001875	bacterium	1.19577275214355
OG0001927	bacterium	1.99123399765918
OG0001935	bacterium	3.18566811213579
OG0001957	bacterium	1.0661620951008
OG0001988	bacterium	2.93143990114893
OG0001992	bacterium	1.28231462689379
OG0002001	bacterium	2.39423520569116
OG0002010	bacterium	1.62383638801991
OG0002028	bacterium	6.24785293034698
OG0002031	bacterium	2.54686242643296
OG0002059	bacterium	2.12850188047249
OG0002085	bacterium	4.06209424993514
OG0002089	bacterium	1.21230662002603
OG0002090	bacterium	3.7380015231986
OG0002134	bacterium	7.97022764858924
OG0002167	bacterium	1.28145950537028
OG0002201	bacterium	3.16343079801501
OG0002202	bacterium	1.18561232752759
OG0002219	bacterium	1.52801670092184
OG0002236	bacterium	1.57578885286786
OG0002257	bacterium	1.33748924224328
OG0002262	bacterium	1.56399430597839
OG0002271	bacterium	7.09745537071959
OG0002305	bacterium	1.38596221217319
OG0002314	bacterium	1.24739007115791
OG0002336	bacterium	2.58000173148078
OG0002338	bacterium	1.40738108471208
OG0002365	bacterium	1.54105642943756
OG0002395	bacterium	3.9515092825601
OG0002437	bacterium	1.32885719189728
OG0002443	bacterium	1.25924305468725
OG0002458	bacterium	1.87625165280779
OG0002485	bacterium	2.88479369337359
OG0002535	bacterium	2.5273135591165
OG0002584	bacterium	4.73048097685021
OG0002590	bacterium	3.4783156710793
OG0002595	bacterium	4.22195508267244
OG0002609	bacterium	2.57382434015035
OG0002618	bacterium	1.55993630179421
OG0002644	bacterium	1.02524539694729
OG0002649	bacterium	2.50324273471522
OG0002654	bacterium	1.12081942734831
OG0002670	bacterium	3.29362254387816
OG0002679	bacterium	1.29468643139848
OG0002710	bacterium	8.49634472756129
OG0002716	bacterium	8.23356131980464
OG0002763	bacterium	7.50620944683754
OG0002779	bacterium	2.76446398860966
OG0002782	bacterium	3.33516537054827
OG0002802	bacterium	1.36236928055023
OG0002806	bacterium	1.8953287975763
OG0002946	bacterium	1.48258199577057
OG0002961	bacterium	1.63730176438637
OG0002964	bacterium	3.60389977460962
OG0003084	bacterium	1.27661494988341
OG0003095	bacterium	1.7661671892657
OG0003138	bacterium	6.078640795929
OG0003142	bacterium	2.35326928541243
OG0003159	bacterium	2.71460954442437
OG0003188	bacterium	2.1403443929904
OG0003198	bacterium	2.01583962686944
OG0003206	bacterium	1.63440820014202
OG0003216	bacterium	3.08514799968722
OG0003235	bacterium	1.45900292868541
OG0003328	bacterium	2.10213049526851
OG0003352	bacterium	1.91127656707235
OG0003364	bacterium	1.20301115429758
OG0003449	bacterium	1.05828779153117
OG0003451	bacterium	1.40352034151649
OG0003460	bacterium	1.64041605428701
OG0003476	bacterium	1.77742802486926
OG0003478	bacterium	1.18756705618995
OG0003482	bacterium	1.32007331369909
OG0003487	bacterium	8.81958433327917
OG0003489	bacterium	3.10730839489309
OG0003503	bacterium	2.08374181905922
OG0003508	bacterium	3.59120452341867
OG0003511	bacterium	1.03146673014081
OG0003512	bacterium	1.4793501298883
OG0003541	bacterium	1.20337721826215
OG0003565	bacterium	1.90331318733176
OG0003572	bacterium	3.0775446345792
OG0003583	bacterium	1.25608202066463
OG0003599	bacterium	8.48156620595513
OG0003608	bacterium	4.56833619053065
OG0003612	bacterium	3.90882160943749
OG0003628	bacterium	3.9413589929462
OG0003652	bacterium	2.26767369187043
OG0003770	bacterium	6.10429168041416
OG0003782	bacterium	3.20378333843048
OG0003792	bacterium	3.50964662456454
OG0003850	bacterium	1.20058746484981
OG0003871	bacterium	1.23792173884928
OG0003875	bacterium	2.26329638552002
OG0003897	bacterium	1.12796911933852
OG0003914	bacterium	2.22241409664821
OG0003918	bacterium	1.63294633225818
OG0003928	bacterium	1.07711370079214
OG0003957	bacterium	3.23045439648854
OG0003961	bacterium	1.22669408264443
OG0003964	bacterium	1.5321240109224
OG0004033	bacterium	1.51705941879323
OG0004048	bacterium	4.78955063566786
OG0004059	bacterium	3.66381824245062
OG0004068	bacterium	2.45662867603964
OG0004128	bacterium	1.29990645776675
OG0004207	bacterium	1.93176159727388
OG0004213	bacterium	2.10252555691528
OG0004223	bacterium	1.0422139005471
OG0004229	bacterium	1.36986281576733
OG0004230	bacterium	1.24789313963275
OG0004258	bacterium	1.16459773427238
OG0004271	bacterium	2.96377507057128
OG0004276	bacterium	5.43917935888908
OG0004365	bacterium	2.4936451745782
OG0004369	bacterium	1.21518162048436
OG0004373	bacterium	2.40596649231192
OG0004375	bacterium	1.66688511158142
OG0004391	bacterium	1.08116595742469
OG0004404	bacterium	1.84184054714258
OG0004405	bacterium	2.76642355867678
OG0004413	bacterium	2.09705836762277
OG0004433	bacterium	2.2776278261845
OG0004481	bacterium	2.71244291617615
OG0004549	bacterium	2.34365855524974
OG0004550	bacterium	2.53893273468959
OG0004555	bacterium	1.67472972906165
OG0004561	bacterium	2.60492983768008
OG0004585	bacterium	1.97258101370572
OG0004592	bacterium	5.10190709001336
OG0004638	bacterium	1.40805213195237
OG0004666	bacterium	1.41443976516716
OG0004670	bacterium	2.2563359701642
OG0004708	bacterium	2.27984670542073
OG0004714	bacterium	2.76035871567672
OG0004759	bacterium	1.38820329945639
OG0004781	bacterium	1.18849186899225
OG0004791	bacterium	6.84984170883471
OG0004804	bacterium	3.92949860953741
OG0004825	bacterium	2.26312782160936
OG0004852	bacterium	1.27519512082333
OG0004859	bacterium	3.08432583648793
OG0004860	bacterium	2.02259882842943
OG0004914	bacterium	1.0082502181248
OG0004931	bacterium	1.23205290131927
OG0004963	bacterium	5.48001483501572
OG0004983	bacterium	2.66321844322608
OG0004990	bacterium	2.57487439841285
OG0004998	bacterium	4.023711763466
OG0005003	bacterium	4.23806596994373
OG0005015	bacterium	1.23677523583787
OG0005026	bacterium	1.62802957175031
OG0005034	bacterium	2.59227696740143
OG0005039	bacterium	1.10603960729583
OG0005041	bacterium	2.3031065047138
OG0005048	bacterium	1.11777523985287
OG0005063	bacterium	1.26350017536999
OG0005108	bacterium	1.47638601997659
OG0005136	bacterium	1.04426843598416
OG0005175	bacterium	1.18933866970743
OG0005177	bacterium	1.76911346995827
OG0005179	bacterium	3.5439066209532
OG0005220	bacterium	2.19678512976359
OG0005242	bacterium	3.37077531320647
OG0005255	bacterium	1.46998976034842
OG0005280	bacterium	2.63210837066055
OG0005300	bacterium	2.28681194674641
OG0005313	bacterium	1.57958199488063
OG0005373	bacterium	3.22740025263185
OG0005376	bacterium	1.64294145041456
OG0005386	bacterium	1.90840110545181
OG0005401	bacterium	1.42820666874674
OG0005422	bacterium	3.3677666631805
OG0005483	bacterium	1.58101072543999
OG0005513	bacterium	4.062327777472
OG0005527	bacterium	2.28402653687623
OG0005533	bacterium	2.28586977497296
OG0005650	bacterium	1.73303849042156
OG0005663	bacterium	2.34551104146047
OG0005699	bacterium	1.85285561888886
OG0005700	bacterium	2.32789833677824
OG0005721	bacterium	1.38009511850299
OG0005729	bacterium	4.81261321483082
OG0005756	bacterium	2.73931271940693
OG0005764	bacterium	2.58627651795239
OG0005776	bacterium	2.34757453432032
OG0005802	bacterium	1.99479245120343
OG0005803	bacterium	1.6616312520846
OG0005816	bacterium	1.33978298338144
OG0005832	bacterium	1.30604565696996
OG0005860	bacterium	1.70153197658236
OG0005864	bacterium	1.79507703946695
OG0005887	bacterium	1.51956830545809
OG0005931	bacterium	2.21587997805155
OG0005939	bacterium	1.2710253598956
OG0005951	bacterium	1.41327412120048
OG0005972	bacterium	2.94810511411525
OG0006000	bacterium	2.48699646867333
OG0006002	bacterium	1.24210062040846
OG0006004	bacterium	2.54463161953705
OG0006016	bacterium	1.48024794852681
OG0006024	bacterium	1.46039838432739
OG0006035	bacterium	1.70364221994043
OG0006038	bacterium	1.14465782608233
OG0006072	bacterium	1.59745771352655
OG0006075	bacterium	1.34814615957303
OG0006078	bacterium	1.25029867246739
OG0006083	bacterium	3.08277140231002
OG0006089	bacterium	2.06225689242536
OG0006104	bacterium	1.29276984946836
OG0006228	bacterium	2.63709610108114
OG0006234	bacterium	1.10814165812189
OG0006268	bacterium	3.82280607109814
OG0006269	bacterium	1.24124395728638
OG0006278	bacterium	2.95928148797704
OG0006308	bacterium	1.49033816226505
OG0006316	bacterium	1.40530929562793
OG0006321	bacterium	1.00990865869675
OG0006354	bacterium	2.67527398795565
OG0006384	bacterium	1.52050604638622
OG0006404	bacterium	1.0642223484738
OG0006441	bacterium	4.158518415214
OG0006483	bacterium	2.3240353745777
OG0006529	bacterium	1.30031374194577
OG0006539	bacterium	1.34707338746935
OG0006566	bacterium	7.72487004074742
OG0006574	bacterium	7.11221011643425
OG0006580	bacterium	4.47175746726856
OG0006653	bacterium	2.21535614016955
OG0006658	bacterium	1.71830978444844
OG0006677	bacterium	1.63245325716789
OG0006678	bacterium	1.48603936546808
OG0006708	bacterium	2.07509132517201
OG0006723	bacterium	1.93013899235997
OG0006813	bacterium	1.2940388826044
OG0006816	bacterium	1.14557981974631
OG0006865	bacterium	1.31644671277058
OG0006869	bacterium	3.43066716465318
OG0006874	bacterium	1.00083049181838
OG0006895	bacterium	1.21113420692657
OG0006903	bacterium	1.04231306996886
OG0006938	bacterium	1.16136589358752
OG0006958	bacterium	3.72258358026669
OG0006967	bacterium	1.58440891463223
OG0006977	bacterium	2.25433989429101
OG0006979	bacterium	1.06971925536884
